Title:,Trial-cth-gapdh
Date/Time:,9/15/2022 1:49:58 PM,9/15/2022 4:03:57 PM
Device:,qTOWER³84 /G,3107G-0413
Operator:,ac
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
,2,Green.515.545.11.2,JOE,5,,
,3,Yellow.535.580.11.2,TAMRA,5,,
,4,Orange.565.605.11.2,ROX,5,,
,5,Red.630.670.11.1,Cy5,5,,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,50,02:00,0,0,0,0,4
,2,,95,02:00,0,0,0,0,4
,3,,95,00:15,0,0,0,0,4
,4,,60,00:15,0,0,0,0,2
,5,*,72,01:00,3,39,0,0,2
,6,*,60,00:15,6,35,1,0,2
Melt active:,Yes
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,GOI,Reference gene,Ct GOI,Ct Ref. gene,Mean Ct GOI,Mean Ct Ref.gene,RQ GOI,RQ Ref.gene,Norm. Expression,Std.Dev. RQ GOI,Std.Dev. RQ Ref.gene,Std.Dev. Norm. Expression,dCt (Ref.Gen – GOI)
L12,,L3,Unknown,,,,,,,,,,,,,
L13,,siG3,Unknown,,,,,,,,,,,,,
L14,,siG3,Unknown,,,,,,,,,,,,,
L15,,siG3,Unknown,,,,,,,,,,,,,
L16,,ctl3,Unknown,,,,,,,,,,,,,
L17,,ctl3,Unknown,,,,,,,,,,,,,
L18,,ctl3,Unknown,,,,,,,,,,,,,
L19,,L3,Unknown,,,,,,,,,,,,,
L20,,L3,Unknown,,,,,,,,,,,,,
L21,,L3,Unknown,,,,,,,,,,,,,
L22,,siG3,Unknown,,,,,,,,,,,,,
L23,,siG3,Unknown,,,,,,,,,,,,,
L24,,siG3,Unknown,,,,,,,,,,,,,
M1,,Lsig1,Unknown,,,,,,,,,,,,,
M2,,Lsig1,Unknown,,,,,,,,,,,,,
M3,,Lsig2,Unknown,,,,,,,,,,,,,
M4,,Lsig2,Unknown,,,,,,,,,,,,,
M5,,Lsig3,Unknown,,,,,,,,,,,,,
M6,,Lsig3,Unknown,,,,,,,,,,,,,
M7,,ctl1,Unknown,,,,,,,,,,,,,
M8,,ctl1,Unknown,,,,,,,,,,,,,
M9,,ctl2,Unknown,,,,,,,,,,,,,
M10,,ctl2,Unknown,,,,,,,,,,,,,
M11,,ctl3,Unknown,,,,,,,,,,,,,
M12,,ctl3,Unknown,,,,,,,,,,,,,
M13,,rt(-),Unknown,,GAPDH,,No Ct,,,,,,,,,
M14,,rt(-),Unknown,,,,,,,,,,,,,
M15,,rt(-),Unknown,TNF,,No Ct,,,,,,,,,,
M16,,rt(-),Unknown,,,,,,,,,,,,,
M17,,rt(-),Unknown,,,,,,,,,,,,,
M18,,rt(-),Unknown,,,,,,,,,,,,,
N1,,Lsig1,Unknown,,,,,,,,,,,,,
N2,,Lsig1,Unknown,,,,,,,,,,,,,
N3,,Lsig2,Unknown,,,,,,,,,,,,,
N4,,Lsig2,Unknown,,,,,,,,,,,,,
N5,,Lsig3,Unknown,,,,,,,,,,,,,
N6,,Lsig3,Unknown,,,,,,,,,,,,,
N7,,ctl1,Unknown,,,,,,,,,,,,,
N8,,ctl1,Unknown,,,,,,,,,,,,,
